N, Time, Prime
449000, 0.021751, 6566363
450000, 0.023575, 6581963
451000, 0.022141, 6597583
452000, 0.022083, 6613001
453000, 0.023112, 6628711
454000, 0.023516, 6644543
455000, 0.022730, 6660721
456000, 0.023615, 6676331
457000, 0.023571, 6692281
458000, 0.025319, 6707717
459000, 0.023864, 6723113
460000, 0.022838, 6738889
461000, 0.022160, 6754537
462000, 0.025074, 6770161
463000, 0.026939, 6786061
464000, 0.024935, 6802121
465000, 0.023481, 6817619
466000, 0.024214, 6833209
467000, 0.024483, 6849061
468000, 0.023810, 6864191
469000, 0.023541, 6879973
470000, 0.025987, 6895393
471000, 0.027078, 6911323
472000, 0.025340, 6927133
473000, 0.025863, 6942721
474000, 0.025080, 6958207
475000, 0.023106, 6973913
476000, 0.025095, 6989813
477000, 0.026137, 7005697
478000, 0.023319, 7021367
479000, 0.022978, 7036819
480000, 0.023187, 7052113
481000, 0.023731, 7068533
482000, 0.026056, 7084097
483000, 0.025205, 7099739
484000, 0.026114, 7115117
485000, 0.027005, 7131629
486000, 0.028984, 7147397
487000, 0.027881, 7163267
488000, 0.028525, 7179101
489000, 0.027445, 7195079
490000, 0.026956, 7210759
491000, 0.025763, 7226431
492000, 0.025088, 7242359
493000, 0.024651, 7258081
494000, 0.024015, 7273759
495000, 0.023623, 7289449
496000, 0.025655, 7305407
497000, 0.026010, 7321091
498000, 0.025639, 7336919
499000, 0.025950, 7353127
500000, 0.025543, 7368787
501000, 0.028494, 7384253
502000, 0.027639, 7400567
503000, 0.027600, 7416313
504000, 0.026563, 7432093
505000, 0.027061, 7447789
506000, 0.027202, 7463921
507000, 0.026885, 7479697
508000, 0.026084, 7495931
509000, 0.027435, 7511969
510000, 0.025952, 7528121
511000, 0.025363, 7543511
512000, 0.026616, 7559173
513000, 0.026378, 7575383
514000, 0.025802, 7591277
515000, 0.025389, 7606561
516000, 0.024723, 7622873
517000, 0.027668, 7638403
518000, 0.026019, 7654139
519000, 0.026734, 7670023
520000, 0.025487, 7685801
521000, 0.026502, 7701523
522000, 0.025911, 7717399
523000, 0.026189, 7733393
524000, 0.026444, 7749493
525000, 0.026422, 7765343
526000, 0.025421, 7781321
527000, 0.026386, 7797563
528000, 0.026748, 7813129
529000, 0.028271, 7829221
530000, 0.025927, 7844731
531000, 0.026992, 7860557
532000, 0.026706, 7876357
533000, 0.027673, 7891913
534000, 0.026603, 7908023
535000, 0.026283, 7923917
536000, 0.027495, 7939817
537000, 0.027123, 7955719
538000, 0.026776, 7971739
539000, 0.026356, 7987307
540000, 0.027979, 8003537
541000, 0.026745, 8019619
542000, 0.027019, 8035759
543000, 0.027953, 8051717
544000, 0.028702, 8067151
545000, 0.029162, 8083457
546000, 0.029049, 8099639
547000, 0.028396, 8115733
548000, 0.028673, 8131237
549000, 0.027344, 8147687
550000, 0.029564, 8163047
551000, 0.028029, 8179277
552000, 0.029166, 8195017
553000, 0.026891, 8210651
554000, 0.028950, 8226767
555000, 0.027585, 8242261
556000, 0.028347, 8258381
557000, 0.028058, 8274509
558000, 0.028703, 8290421
559000, 0.028126, 8306227
560000, 0.028056, 8322241
561000, 0.028647, 8338241
562000, 0.028068, 8353717
563000, 0.027405, 8369989
564000, 0.028660, 8385809
565000, 0.027454, 8401717
566000, 0.028213, 8418001
567000, 0.027454, 8434087
568000, 0.029911, 8450557
569000, 0.027859, 8466319
570000, 0.028473, 8482259
571000, 0.028337, 8497991
572000, 0.028514, 8513797
573000, 0.028439, 8529601
574000, 0.027956, 8545337
575000, 0.030927, 8561299
576000, 0.028824, 8576903
577000, 0.030730, 8592949
578000, 0.029368, 8608841
579000, 0.028872, 8624633
580000, 0.028840, 8640679
581000, 0.029276, 8656433
582000, 0.028503, 8672509
583000, 0.028598, 8688593
584000, 0.028665, 8704613
585000, 0.029631, 8720233
586000, 0.028861, 8736191
587000, 0.029543, 8752273
588000, 0.030560, 8767963
589000, 0.030210, 8783771
590000, 0.029570, 8799919
591000, 0.029846, 8816083
592000, 0.029697, 8831987
593000, 0.031466, 8848163
594000, 0.030383, 8864503
595000, 0.029889, 8880457
596000, 0.029196, 8896483
597000, 0.030364, 8912627
